Date,Amount,Description
10-7,"65,340",Adipisicing tempor sunt.
10-7,"91,130",Aliqua elit sit ipsum do in eu minim veniam sint cupidatat deserunt cupidatat.
10-7,"94,280",Eiusmod sit occaecat ipsum commodo labore ullamco aliquip do qui.
10-7,"4,640",Mollit sunt incididunt dolor culpa excepteur ad duis Lorem commodo proident eiusmod.
10-7,"48,580",Eu nulla veniam commodo aute.
10-7,"98,170",Commodo incididunt nulla dolore Lorem id elit anim sint exercitation proident.
10-7,"50,050",Esse velit labore dolor ullamco et excepteur cillum duis.
10-7,649.4,Sint nulla anim in.
10-7,"17,870",Consequat est quis reprehenderit sit excepteur velit id consequat deserunt culpa eu cupidatat.
10-7,"71,600",Irure laborum et duis deserunt et id aute nisi aute.
10-7,"12,660",Laborum deserunt nulla nisi ex elit et commodo quis dolore.
10-7,"68,930","Sit amet dolor, "
10-7,"52,760",Do reprehenderit sunt ad adipisicing aliquip.
10-7,"70,440",Anim sit eiusmod labore reprehenderit dolore ad ad consectetur ad ea minim.
10-7,"40,050",Sunt sunt sunt esse ea sint commodo nostrud.
10-7,"13,520",Duis consequat consectetur occaecat.
10-7,"61,140",Mollit pariatur sit id do eiusmod aliqua elit ad consectetur ex proident in consequat.
10-7,"36,230",Cillum aliquip aliquip id ex magna cillum eu minim cupidatat quis.
10-7,"27,640",Magna Lorem officia velit proident consectetur esse consectetur incididunt eu voluptate voluptate non ex veniam.
10-7,"95,480",Aliquip cillum incididunt labore dolor aute eu mollit eiusmod ad ex anim ex dolore.
10-7,"28,900",Aliqua pariatur laborum reprehenderit.
10-7,980.7,"Id culpa culpa a, ipisicing."
10-7,"54,040",Laboris esse ut non esse deserunt eiusmod.
10-7,"57,610",Tempor elit mollit consectetur minim dolore quis minim aliquip ad culpa laboris sint ad veniam.
10-7,"4,130","Elit consequa,  duis."
10-7,719.9,Commodo non cillum anim laborum ea est labore excepteur qui et.
10-7,"94,390",Eu magna et tempor laborum irure ullamco veniam quis ullamco sit tempor.
10-7,"57,740",Velit consectetur eiusmod do do ad pariatur.
10-7,"84,420",Sint voluptate et sit magna non quis culpa eiusmod culpa sint sint id deserunt.
10-7,"54,800",Labore officia non ea ad nisi et occaecat aliqua Lorem esse aliquip occaecat sit velit.
10-7,689.1,In ullamco laboris reprehenderit in deserunt sit qui aliquip est ullamco.
10-7,"54,490",Aliqua minim duis est fugiat nisi ut deserunt do esse.
10-7,"21,910",Eu cupidatat velit deserunt cillum in quis ut duis consequat.
10-7,"52,950",Eu in duis sunt reprehenderit sint commodo aute dolore aliquip.
10-7,290,Minim amet exercitation aute excepteur reprehenderit aute ex voluptate.
10-7,"28,310",Et tempor fugiat cupidatat ut ea anim voluptate consectetur eu excepteur nostrud aute.
10-7,"31,550",Exercitation exercitation dolore duis voluptate ad occaecat officia sit ea laboris excepteur consequat.
10-7,"25,060",Esse fugiat officia nostrud laborum enim qui nisi ullamco quis amet occaecat excepteur nisi dolor.
10-7,"70,290",Eiusmod est nisi ex ex esse sint aute nostrud.
10-7,"67,640","Duis sint ad magna , met tempor."
10-7,"13,030",Voluptate reprehenderit ex cupidatat reprehenderit est irure excepteur pariatur aliqua cillum anim ut ea.
10-7,"85,870",Aute et ex.
10-7,"72,400",Mollit veniam tempor est nulla anim consectetur quis officia labore.
10-7,"14,120",Eiusmod adipisicing sit enim eu consectetur anim consequat aliquip incididunt cupidatat ex.
10-7,"51,320",Culpa cupidatat ad dolor amet aliqua anim cupidatat.
10-7,"94,460",Consectetur laboris reprehenderit excepteur laboris minim cupidatat officia nisi nulla cillum.
10-7,"53,500","Ea non duis nostrud elit v, luptate nostrud do."
10-7,"85,720",Duis non in duis irure occaecat proident veniam.
10-7,"97,410",Elit ex occaecat consequat anim magna minim magna.
10-7,"14,580",Reprehenderit et ullamco officia magna.
10-7,"72,640",Tempor officia ullamco incididunt ut aliqua aute ea commodo deserunt sunt aute.
10-7,"19,400",Aliquip dolore magna enim aliquip voluptate officia aliquip veniam ea aliqua.
10-7,"8,420",Dolore tempor anim mollit minim ea duis sunt dolore.
10-7,"36,810",Eiusmod exercitation laborum.
10-7,"31,630",Mollit exercitation cillum eu exercitation cillum dolore laborum irure.
10-7,"6,390",Est veniam anim.
10-7,"5,990","Minim cillum dolor labore incididunt fugiat ut ex, ipsum."
10-7,"49,690",Dolor sint sunt non Lorem eiusmod quis ut.
10-7,"84,630",Excepteur sit veniam ad officia voluptate nulla.
11-7,"68,150",Et minim anim duis ipsum culpa nisi quis consectetur velit dolor dolore officia occaecat consequat.
11-7,"47,390",Cupidatat ea sint ea excepteur officia magna esse non cillum dolor et sit sit sit.
11-7,"19,950",Ex cupidatat mollit enim adipisicing excepteur nisi do ex sunt anim.
